Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-11-01,BTCUSD,9150.07,9303.53,9054.6,9250.45,6640.55,60832091.54
2019-11-02,BTCUSD,9250.45,9396.91,9201.19,9304.75,2701.14,25075118.41
2019-11-03,BTCUSD,9304.75,9384.32,9067,9207,2539.22,23311544.34
2019-11-04,BTCUSD,9207,9586.5,9122.33,9410.76,4962.44,46348340.77
2019-11-05,BTCUSD,9410.76,9485,9165.2,9320.14,4979.58,46449230.61
2019-11-06,BTCUSD,9320.14,9448.19,9254.68,9344.78,4670.23,43617190.04
2019-11-07,BTCUSD,9344.78,9373.48,9080,9199.36,3975.98,36653215.87
2019-11-08,BTCUSD,9199.36,9253.39,8661,8767.37,9699.75,86368731.97
2019-11-09,BTCUSD,8767.37,8876.94,8720,8812.21,2271.52,20011709.54
2019-11-10,BTCUSD,8812.21,9142.33,8750.85,9024.49,2663.28,23900855.54
2019-11-11,BTCUSD,9024.49,9075.32,8593,8720.36,6392.98,55913644.29
2019-11-12,BTCUSD,8720.36,8872.47,8549,8813.91,4721.91,41173319.74
2019-11-13,BTCUSD,8813.91,8839.46,8700,8755.24,3185.82,27877490.14
2019-11-14,BTCUSD,8755.24,8791.78,8555,8636.9,3412.81,29480031.56
2019-11-15,BTCUSD,8636.9,8799.03,8363,8463.49,5213.7,44596817.59
2019-11-16,BTCUSD,8463.49,8539.53,8423,8484.63,1180.57,10004652.28
2019-11-17,BTCUSD,8484.63,8631.6,8375,8499.31,2074.01,17668226.91
2019-11-18,BTCUSD,8499.31,8508.4,8010.7,8170.65,4825.66,40088282.11
2019-11-19,BTCUSD,8170.65,8197.77,7989.15,8121.63,4412.39,35731334.2
2019-11-20,BTCUSD,8121.63,8231.04,8027.28,8088.44,2996.01,24265795.69
2019-11-21,BTCUSD,8088.44,8116.92,7394.09,7611.51,9375.0,72431853.92
2019-11-22,BTCUSD,7611.51,7714.7,6785,7285.85,20120.15,144885449.41
2019-11-23,BTCUSD,7285.85,7356.49,7102.16,7320.39,5550.47,40106431.41
2019-11-24,BTCUSD,7320.39,7349.68,6861.96,6908.36,6047.02,42914524.55
2019-11-25,BTCUSD,6908.36,7380,6515,7122.14,18716.6,129366591.36
2019-11-26,BTCUSD,7122.14,7344.91,7018.78,7159.22,7643.85,54566242.21
2019-11-27,BTCUSD,7159.22,7676.27,6847.72,7527.84,15156.99,110349122.51
2019-11-28,BTCUSD,7527.84,7659.92,7372.19,7436.72,6925.58,52090533.13
2019-11-29,BTCUSD,7436.72,7870.35,7411.17,7753.69,7658.87,58602440.28
2019-11-30,BTCUSD,7753.69,7815,7452.08,7550.67,5446.27,41571365.44
